rank,mmr,searchRace,race,toonname,battleTag,avatarId,division,wins,losses,draws
1,6246,human,human,['Sinae'],['Sinae#2462'],['p003'],5,23,1,0
2,6021,human,human,['Slow'],['Slow#31256'],[''],5,115,41,0
3,6013,human,human,['firestarsm'],['firestarsm#3672'],['p002'],5,52,6,0
4,5917,human,human,['원펀맨'],['원펀맨#31479'],[''],4,44,6,0
5,5859,human,human,['victim'],['victim#21446'],['p028'],4,34,11,0
6,5813,human,human,['Impulse'],['Impulse#22117'],['p113'],4,30,3,0
7,5763,human,human,['BARD'],['BARD#2271'],['p113'],4,41,4,0
8,5723,human,human,['x3m4'],['x3m4#21845'],['p051'],4,34,6,0
9,5717,human,human,['Eversor'],['Eversor#31935'],[''],4,27,2,0
10,5715,human,human,['Zekk'],['Zekk#1106'],[''],4,23,0,0
11,5688,human,human,['작은바지'],['작은바지#310572'],[''],4,119,33,0
12,5655,human,human,['OldBoy'],['OldBoy#21370'],['p119'],4,19,1,0
13,5648,human,human,['Hobo'],['Hobo#12586'],[''],4,11,0,0
14,5643,human,human,['Sm0ve'],['Sm0ve#21742'],['p071'],4,14,2,0
15,5636,human,human,['SanGOghost'],['SanGOghost#41605'],['p068'],4,50,23,0
16,5621,human,human,['Eyeofthegoat'],['Eyeofthegoat#1647'],[''],4,17,6,0
17,5610,human,human,['Bennyman'],['Bennyman#21921'],['p037'],4,11,1,0
18,5599,human,human,['LoveIyArcher'],['LoveIyArcher#1964'],['p122'],4,9,0,0
19,5587,human,human,['Bundy'],['Bundy#2832'],[''],4,14,4,0
20,5582,human,human,['MonkeyAC'],['MonkeyAC#2570'],['p093'],4,25,12,0
21,5568,human,human,['DaniMarie'],['DaniMarie#11934'],[''],4,40,19,0
22,5557,human,human,['Sunny'],['Sunny#23708'],['p093'],4,21,1,0
23,5537,human,human,['JumpyWizard'],['JumpyWizard#2202208'],['p030'],4,10,0,0
24,5528,human,human,['BadrArmy'],['BadrArmy#2991'],['p051'],4,6,2,0
25,5518,human,human,['Modezar'],['Modezar#2220'],['p056'],4,17,8,0
